Region,"C05-Age as of Last Birthday","C07-Highest Grade Completed","C11 - Location of Work (Province, Municipality)","C15-Major Industry Group","New Employment Criteria (jul 05, 2005)"
01,47,10018,2820,01,1
01,43,24015,2820,01,1
01,06,01000,"    ","  "," "
01,03,"     ","    ","  "," "
01,82,10018,"    ","  ",3
01,16,24015,"    ","  ",3
01,75,10011,2820,01,1
01,35,24015,2820,01,1
01,47,10018,2820,01,1
01,38,24015,2820,01,1
01,42,24015,2820,01,1
01,15,24013,"    ","  ",3
01,14,24012,"    ","  "," "
01,12,10015,"    ","  "," "
01,33,60913,2820,82,1
01,50,10018,2822,41,1
01,63,10018,"    ","  ",3
01,14,24012,"    ","  "," "
01,05,01000,"    ","  "," "
01,38,61013,"    ","  "," "
01,67,10013,2822,01,1
01,67,10015,2822,47,1
01,41,60111,2822,85,1
01,15,24013,"    ","  ",3
01,15,24013,"    ","  ",3
01,14,24012,"    ","  "," "
01,62,10018,"    ","  ",3
01,72,10018,2822,01,1
01,67,10018,"    ","  ",3
01,15,24012,"    ","  ",3
01,17,35011,"    ","  ",3
01,16,24013,"    ","  ",3
01,54,10018,2822,01,1
01,52,24012,"    ","  ",3
01,28,24015,2822,01,1
01,45,24015,2822,01,1
01,45,60913,2822,01,1
01,19,60002,"    ","  ",3
01,69,24015,"    ","  ",3
01,33,60211,2822,18,1
01,35,24015,2822,45,1
01,36,60714,2822,82,1
01,09,10012,"    ","  "," "
01,38,24012,2822,16,1
01,15,24012,"    ","  ",3
01,13,24011,"    ","  "," "
01,34,24015,"    ","  "," "
01,89,10014,"    ","  ",3
01,60,60913,"    ","  ",3
01,62,24015,2822,01,1
01,59,60111,2822,85,1
01,55,10011,2822,01,1
01,53,24015,2822,01,1
01,34,24015,2822,47,1
01,24,24015,2812,47,1
01,32,24015,2818,47,1
01,21,24015,"    ","  ",3
01,14,24013,"    ","  "," "
01,59,10012,2822,01,1
01,54,10018,2822,01,1
01,23,60002,2822,01,1
01,77,10018,2822,01,1
01,60,10018,2822,01,1
01,23,35013,2822,01,1
01,45,24015,2812,82,1
01,17,34011,"    ","  ",3
01,45,24015,"    ","  "," "
01,83,60002,"    ","  ",3
01,71,10018,"    ","  ",3
01,71,10018,2822,01,1
01,41,60001,2812,47,1
01,18,34021,2822,01,1
01,22,24015,2812,82,1
01,27,60003,2822,84,1
01,03,"     ","    ","  "," "
01,23,10018,2822,41,1
01,31,10018,2822,41,1
01,36,24015,2822,01,1
01,30,10018,2822,01,1
01,12,10018,"    ","  "," "
01,11,10015,"    ","  "," "
01,09,10013,"    ","  "," "
01,04,"     ","    ","  "," "
01,33,10018,2822,01,1
01,29,24015,2822,47,1
01,06,10011,"    ","  "," "
01,04,"     ","    ","  "," "
01,02,"     ","    ","  "," "
01,70,24015,2822,01,1
01,59,10018,2822,01,1
01,26,24015,2822,41,1
01,20,24015,2822,47,1
01,82,10014,"    ","  ",3
01,80,10018,"    ","  ",3
01,42,61041,"    ","  "," "
01,35,61013,2822,47,1
01,09,10013,"    ","  "," "
01,06,02000,"    ","  "," "
01,01,"     ","    ","  "," "
01,43,24013,2822,01,1
01,40,10018,2822,01,1
01,18,24013,"    ","  ",3
01,51,24015,2822,01,1
01,39,24015,2822,01,1
01,19,34013,2822,01,1
01,15,24013,"    ","  ",3
01,10,10013,"    ","  "," "
01,72,10018,2822,01,1
01,20,34011,"    ","  ",3
01,19,34023,"    ","  ",3
01,16,24013,"    ","  ",3
01,37,24015,"    ","  "," "
01,54,10018,2823,01,1
01,44,24015,2823,01,1
01,23,60488,2823,01,1
01,69,10018,2823,01,1
01,62,24012,2823,01,1
01,30,24015,2823,41,1
01,22,24015,2820,56,1
01,53,60001,2823,01,1
01,54,24012,2823,01,1
01,52,60003,2823,01,1
01,42,60003,2823,84,1
01,37,60003,2823,47,1
01,16,24015,"    ","  ",3
01,10,10014,"    ","  "," "
01,69,60111,2823,01,1
01,64,60831,2817,84,1
01,39,60612,2823,84,1
01,35,60111,2823,85,1
01,07,10011,"    ","  "," "
01,02,"     ","    ","  "," "
01,43,24015,2823,01,1
01,37,24015,2823,01,1
01,71,24012,2823,47,1
01,32,24015,2823,01,1
01,31,24015,2823,01,1
01,12,10018,"    ","  "," "
01,11,10014,"    ","  "," "
01,62,24015,2823,01,1
01,31,10018,2823,01,1
01,21,24015,2823,01,1
01,49,24015,2905,42,1
01,50,24015,"    ","  ",3
01,25,60314,"    ","  ",3
01,23,24015,"    ","  ",3
01,27,60612,"    ","  ",3
01,05,00000,"    ","  "," "
01,69,10018,"    ","  ",3
01,67,10018,"    ","  ",3
01,42,24015,2930,49,1
01,38,24015,"    ","  "," "
01,21,41013,"    ","  ",3
01,84,10018,2905,01,1
01,31,50913,2905,01,1
01,37,24015,"    ","  "," "
01,11,10014,"    ","  "," "
01,08,10011,"    ","  "," "
01,42,24015,2905,47,1
01,37,24012,2905,47,1
01,18,35013,"    ","  ",3
01,16,34011,"    ","  ",3
01,12,10015,"    ","  "," "
01,05,00000,"    ","  "," "
01,37,24015,"    ","  ",3
01,65,10018,2905,01,1
01,64,10018,2905,47,1
01,31,00000,"    ","  ",3
01,21,60001,"    ","  ",3
01,28,24015,2905,49,1
01,33,24015,2905,96,1
01,06,02000,"    ","  "," "
01,05,00000,"    ","  "," "
01,00,"     ","    ","  "," "
01,33,24012,2905,01,1
01,17,34013,"    ","  ",3
01,07,10011,"    ","  "," "
01,02,"     ","    ","  "," "
01,31,40721,2905,96,1
01,15,24012,"    ","  ",3
01,61,10015,"    ","  ",3
01,43,10018,2920,42,1
01,42,24015,"    ","  ",3
01,21,60001,"    ","  ",3
01,16,24015,"    ","  ",3
01,14,24011,"    ","  "," "
01,63,24015,2905,01,1
01,56,24015,2934,84,1
01,17,34011,"    ","  ",3
01,84,10018,"    ","  ",3
01,44,40716,2905,01,1
01,38,24015,"    ","  "," "
01,15,24013,"    ","  ",3
01,14,24011,"    ","  "," "
01,59,40716,2905,80,1
01,43,24015,2905,47,1
01,20,24015,"    ","  ",3
01,14,24011,"    ","  "," "
01,22,10018,2905,41,1
01,18,24015,"    ","  ",3
01,00,"     ","    ","  "," "
01,23,24012,2905,41,1
01,19,24013,"    ","  ",3
01,01,"     ","    ","  "," "
01,59,10014,2905,01,1
01,55,10018,2905,01,1
01,27,24015,2905,41,1
01,25,60001,3905,47,1
01,07,02000,"    ","  "," "
01,05,01000,"    ","  "," "
01,03,"     ","    ","  "," "
01,46,24015,2930,49,1
01,43,24015,2905,47,1
01,19,34013,"    ","  ",3
01,17,24015,"    ","  ",3
01,65,24015,2905,01,1
01,50,24015,2905,01,1
01,40,60002,"    ","  ",3
01,36,60613,"    ","  "," "
01,05,01000,"    ","  "," "
01,42,24015,2905,84,1
01,82,10018,"    ","  ",3
01,22,34013,2905,56,1
01,18,34013,"    ","  ",3
01,81,10013,2912,56,1
01,32,02000,2905,16,1
01,37,40213,2907,90,1
01,66,60001,"    ","  ",3
01,50,60411,2903,47,1
01,36,24015,2903,47,1
01,41,40723,2907,56,1
01,17,34011,"    ","  ",3
01,16,24013,"    ","  ",3
01,10,10014,"    ","  "," "
01,39,60001,2907,56,1
01,20,60001,"    ","  ",3
01,18,35013,"    ","  ",3
01,15,24013,"    ","  ",3
01,13,24011,"    ","  "," "
01,67,24015,"    ","  ",3
01,63,60413,"    ","  ",3
01,40,60311,2907,84,1
01,65,24012,2907,49,1
01,65,24011,2907,96,1
01,32,40716,2907,41,1
01,08,10011,"    ","  "," "
01,34,24015,2930,41,1
01,33,24015,"    ","  ",3
01,07,10011,"    ","  "," "
01,03,"     ","    ","  "," "
01,55,24015,2903,41,1
01,62,24015,"    ","  ",3
01,28,24012,2907,03,1
01,07,02000,"    ","  "," "
01,60,24012,2907,03,1
01,54,10018,2907,47,1
01,19,24015,2907,41,1
01,16,24015,"    ","  ",3
01,50,24013,2907,41,1
01,53,60003,"    ","  ",3
01,03,"     ","    ","  "," "
01,54,60114,2934,45,1
01,46,60111,2907,85,1
01,26,60612,"    ","  "," "
01,24,61013,2907,56,1
01,22,60002,"    ","  ",3
01,13,24011,"    ","  "," "
01,48,24011,2907,49,1
01,50,24015,2907,84,1
01,26,24013,2907,41,1
01,23,61015,2934,55,1
01,12,10018,"    ","  "," "
01,81,10014,"    ","  ",3
01,24,24015,2907,41,1
01,58,10018,"    ","  ",3
01,49,60222,2903,01,1
01,48,60913,"    ","  ",3
01,14,24012,"    ","  "," "
01,12,10018,"    ","  "," "
01,47,60003,"    ","  ",3
01,17,24015,"    ","  ",3
01,47,24015,2907,47,1
01,50,50913,"    ","  ",3
01,38,60003,2934,61,1
01,17,34011,"    ","  ",3
01,11,10015,"    ","  "," "
01,53,60001,"    ","  ",3
01,60,10018,2907,41,1
01,61,10018,2907,47,1
01,28,24015,2907,41,1
01,24,60413,7604,82,1
01,23,60003,"    ","  ",3
01,40,10018,2907,49,1
01,32,24015,2907,56,1
01,09,10013,"    ","  "," "
01,04,"     ","    ","  "," "
01,61,24012,2907,41,1
01,64,24015,2907,96,1
01,76,60111,"    ","  ",3
01,67,24015,"    ","  ",3
01,62,10018,"    ","  ",3
01,63,10013,"    ","  ",3
01,34,24015,2910,41,1
01,81,00000,"    ","  ",3
01,56,10012,2910,41,1
01,25,60002,2910,41,1
01,26,60001,"    ","  ",3
01,05,01000,"    ","  "," "
01,57,10015,2910,41,1
01,51,24012,"    ","  ",3
01,72,60002,"    ","  ",3
01,45,40610,2910,41,1
01,58,50415,2910,84,1
01,55,10018,2910,41,1
01,54,24015,"    ","  "," "
01,28,60003,2910,47,1
01,10,10013,"    ","  "," "
01,06,02000,"    ","  "," "
01,05,01000,"    ","  "," "
01,40,60002,2910,01,1
01,38,24012,"    ","  ",3
01,03,"     ","    ","  "," "
01,89,10012,"    ","  ",3
01,46,40713,2910,84,1
01,42,60111,2910,85,1
01,16,24013,"    ","  ",3
01,08,10011,"    ","  "," "
01,07,02000,"    ","  "," "
01,46,10015,2910,41,1
01,43,60111,"    ","  "," "
01,66,10018,2912,84,1
01,20,60002,"    ","  ",3
01,25,60612,2934,84,1
01,43,24015,0101,41,1
01,25,60413,2934,68,1
01,27,60314,2903,84,1
01,38,10018,2912,01,1
01,81,10018,2905,01,1
01,71,10018,"    ","  ",3
01,35,60001,2912,01,1
01,50,60001,"    ","  "," "
01,15,24013,"    ","  ",3
01,20,60003,"    ","  ",3
01,72,24011,2912,01,1
01,66,10018,2912,01,1
01,36,24015,2928,41,1
01,34,50913,"    ","  ",3
01,04,"     ","    ","  "," "
01,73,10018,2912,01,1
01,76,10018,2912,01,1
01,35,24012,2912,01,1
01,27,60322,2912,47,1
01,49,10018,2912,01,1
01,49,60321,"    ","  ",3
01,19,35013,"    ","  ",3
01,62,10018,2912,01,1
01,68,10018,"    ","  ",3
01,39,60923,2920,84,1
01,39,24015,"    ","  "," "
01,14,24011,"    ","  "," "
01,12,10015,"    ","  "," "
01,50,10015,2912,01,1
01,47,24013,2912,47,1
01,74,10018,"    ","  ",3
01,73,10018,"    ","  ",3
01,61,24015,2912,01,1
01,60,10018,2912,01,1
01,31,24015,2912,01,1
01,30,50721,2912,01,1
01,10,10013,"    ","  "," "
01,02,"     ","    ","  "," "
01,90,10011,"    ","  ",3
01,63,10015,"    ","  ",3
01,54,60716,2912,01,1
01,49,60111,2912,85,1
01,21,60003,"    ","  ",3
01,20,60001,"    ","  ",3
01,16,24015,"    ","  ",3
01,89,24015,"    ","  ",3
01,43,40716,2912,01,1
01,09,10012,"    ","  "," "
01,39,60001,2906,41,1
01,26,24015,"    ","  ",3
01,03,"     ","    ","  "," "
01,31,24015,2934,82,1
01,32,24015,"    ","  "," "
01,11,10015,"    ","  "," "
01,48,24015,2912,01,1
01,45,24015,"    ","  "," "
01,23,60002,"    ","  ",3
01,24,41013,2912,47,1
01,04,"     ","    ","  "," "
01,77,10015,2912,01,1
01,78,10018,2912,01,1
01,46,10018,2912,41,1
01,48,10018,2912,01,1
01,20,60001,"    ","  ",3
01,15,24012,"    ","  ",3
01,38,40610,2934,64,1
01,36,24015,"    ","  "," "
01,13,24011,"    ","  "," "
01,13,24011,"    ","  "," "
01,39,50613,2925,03,1
01,36,50913,2925,47,1
01,03,"     ","    ","  "," "
01,12,10015,"    ","  "," "
01,52,10013,2925,10,1
01,49,24015,2925,47,1
01,24,60001,2925,84,1
01,21,34013,2906,47,1
01,14,24012,"    ","  "," "
01,28,10018,2925,10,1
01,75,10018,"    ","  ",3
01,81,10018,"    ","  ",3
01,52,60003,"    ","  ",3
01,40,24015,2925,41,1
01,43,50613,2925,56,1
01,14,24012,"    ","  "," "
01,08,10011,"    ","  "," "
01,40,24015,2925,41,1
01,13,24011,"    ","  "," "
01,75,60002,2925,01,1
01,71,10018,"    ","  ",3
01,36,24015,2925,41,1
01,14,24012,"    ","  "," "
01,25,24015,2914,47,1
01,38,24015,2916,41,1
01,34,24015,"    ","  ",3
01,13,24011,"    ","  "," "
01,59,24015,2925,01,1
01,64,10018,2925,47,1
01,54,24015,2924,41,1
01,51,24015,2925,01,1
01,29,60413,2906,64,1
01,44,10013,2924,47,1
01,22,60003,2925,41,1
01,17,34011,"    ","  ",3
01,15,24013,"    ","  ",3
01,07,02000,"    ","  "," "
01,59,10014,2925,47,1
01,57,10018,2925,96,1
01,12,10015,"    ","  "," "
01,58,24015,2925,01,1
01,53,60111,2925,85,1
01,26,60716,"    ","  "," "
01,22,60914,2906,86,1
01,18,34013,"    ","  ",3
01,76,10012,2925,47,1
01,22,60001,"    ","  ",3
01,07,10011,"    ","  "," "
01,82,24015,"    ","  ",3
01,18,34013,"    ","  ",3
01,15,24013,"    ","  ",3
01,35,60314,2916,41,1
01,34,24015,2925,47,1
01,16,24015,"    ","  ",3
01,06,01000,"    ","  "," "
01,43,24015,2925,01,1
01,42,10013,2925,01,1
01,11,10015,"    ","  "," "
01,03,"     ","    ","  "," "
01,60,24015,"    ","  ",3
01,35,24015,2925,01,1
01,55,24015,2925,01,1
01,50,24015,2925,01,1
01,14,24012,"    ","  "," "
01,38,40714,2925,01,1
01,36,24015,2906,47,1
01,13,10018,"    ","  "," "
01,56,24015,2925,31,1
01,24,60916,2906,86,1
01,21,60002,"    ","  ",3
01,34,24015,2925,96,1
01,41,24015,2925,96,1
01,42,24015,"    ","  "," "
01,18,34013,"    ","  ",3
01,16,24015,"    ","  ",3
01,14,24012,"    ","  "," "
01,51,24013,2925,01,1
01,50,24013,2925,01,1
01,28,24012,2925,41,1
01,23,60002,2925,41,1
01,22,34013,2925,41,1
01,07,02000,"    ","  "," "
01,29,24015,2925,41,1
01,29,24015,2906,96,1
01,65,24011,2925,01,1
01,64,10018,2925,01,1
01,42,40714,2924,95,1
01,37,60413,"    ","  "," "
01,20,60002,"    ","  ",3
01,19,60001,"    ","  ",3
01,13,24011,"    ","  "," "
01,12,10018,"    ","  "," "
01,11,10015,"    ","  "," "
01,37,24015,2925,41,1
01,34,60003,2925,01,1
01,13,24011,"    ","  "," "
01,10,10014,"    ","  "," "
01,03,"     ","    ","  "," "
01,62,24015,2925,01,1
01,38,24013,2925,41,1
01,32,24013,2925,01,1
01,12,10015,"    ","  "," "
01,11,10014,"    ","  "," "
01,64,24015,2925,01,1
01,58,10018,2925,01,1
01,35,24015,2925,01,1
01,28,24015,2925,01,1
01,49,10012,2925,31,1
01,42,10018,2925,56,1
01,23,24012,2925,01,1
01,19,60002,"    ","  ",3
01,57,24012,2925,01,1
01,45,24015,3301,10,1
01,41,61013,3301,96,1
01,22,60002,"    ","  ",3
01,18,24015,"    ","  ",3
01,24,10014,3301,46,1
01,01,"     ","    ","  "," "
01,54,24015,3301,01,1
01,47,24015,3303,41,1
01,56,60111,3301,01,1
01,24,60913,3314,86,1
01,43,60111,3301,01,1
01,43,60001,3301,84,1
01,07,10011,"    ","  "," "
01,86,60411,"    ","  ",3
01,49,24015,3301,95,1
01,82,10018,"    ","  ",3
01,67,10018,"    ","  ",3
01,36,60413,3314,84,1
01,34,60914,"    ","  "," "
01,30,60914,"    ","  ",3
01,06,01000,"    ","  "," "
01,01,"     ","    ","  "," "
01,41,24011,3301,96,1
01,58,60003,3301,49,1
01,56,24015,3301,96,1
01,22,60002,3314,41,1
01,56,60541,"    ","  ",3
01,75,10018,"    ","  ",3
01,40,50913,3314,86,1
01,32,60002,"    ","  ",2
01,43,60314,3314,84,1
01,41,60111,3301,84,1
01,15,24012,"    ","  ",3
01,09,10013,"    ","  "," "
01,05,01000,"    ","  "," "
01,03,"     ","    ","  "," "
01,68,10018,"    ","  ",3
01,30,60811,3301,12,1
01,40,24013,3301,96,1
01,29,60314,3301,80,1
01,30,60001,"    ","  ",3
01,10,10014,"    ","  "," "
01,03,"     ","    ","  "," "
01,29,24011,3301,49,1
01,30,60001,"    ","  ",3
01,63,24015,3301,41,1
01,60,60413,3301,96,1
01,41,24015,3301,41,1
01,39,60002,3301,96,1
01,35,60111,1102,82,1
01,32,60003,3301,56,1
01,81,10018,"    ","  ",3
01,80,10018,"    ","  ",3
01,28,60001,"    ","  ",3
01,19,24015,"    ","  ",3
01,15,24013,"    ","  ",3
01,15,24013,"    ","  ",3
01,36,24015,3311,84,1
01,32,24015,3311,84,1
01,07,10011,"    ","  "," "
01,56,24015,3311,01,1
01,57,24015,3311,84,1
01,33,60612,1102,26,1
01,55,40713,"    ","  ",2
01,54,60111,3311,85,1
01,23,60313,"    ","  ",2
01,22,60003,"    ","  ",3
01,21,60002,"    ","  ",3
01,20,60001,"    ","  ",3
01,87,10018,"    ","  ",3
01,55,24015,"    ","  ",2
01,46,24015,"    ","  "," "
01,20,60001,"    ","  ",3
01,12,10015,"    ","  "," "
01,66,10018,3311,84,1
01,33,24015,3311,01,1
01,32,24015,3311,56,1
01,10,10013,"    ","  "," "
01,09,10012,"    ","  "," "
01,16,24015,"    ","  ",3
01,16,24015,"    ","  ",3
01,13,10018,"    ","  "," "
01,62,24012,3311,01,1
01,58,24015,"    ","  ",3
01,30,60913,"    ","  ",2
01,57,24015,3311,01,1
01,13,10018,"    ","  "," "
01,63,10018,3311,01,1
01,59,24015,3311,01,1
01,31,24012,3311,41,1
01,28,60002,"    ","  "," "
01,08,10012,"    ","  "," "
01,24,60003,"    ","  ",3
01,00,"     ","    ","  "," "
01,10,10014,"    ","  "," "
01,74,24012,"    ","  ",2
01,72,24015,3311,01,1
01,73,10018,3311,01,1
01,32,24015,3311,01,1
01,68,24015,"    ","  ",2
01,67,24012,"    ","  ",3
01,48,10014,3311,01,1
01,47,24011,3311,84,1
01,20,35011,3311,01,1
01,18,35011,"    ","  ",3
01,13,24011,"    ","  "," "
01,22,60001,"    ","  ",3
01,00,"     ","    ","  "," "
01,38,24015,3311,49,1
01,37,60001,"    ","  ",3
01,13,10018,"    ","  "," "
01,16,24013,"    ","  ",3
01,13,10018,"    ","  "," "
01,55,24015,"    ","  ",2
01,53,24015,3311,01,1
01,84,24015,"    ","  ",3
01,15,24012,"    ","  ",3
01,73,24015,"    ","  ",3
01,44,24012,3302,01,1
01,32,24012,"    ","  ",3
01,05,00000,"    ","  "," "
01,38,60915,3314,86,1
01,40,60314,3314,84,1
01,19,34023,"    ","  ",3
01,14,24011,"    ","  "," "
01,66,60003,"    ","  ",3
01,68,60002,"    ","  ",3
01,50,24015,3314,41,1
01,22,60001,"    ","  ",3
01,27,41013,3314,56,1
01,50,24015,3314,96,1
01,47,24015,3314,49,1
01,47,24015,3314,96,1
01,22,60003,"    ","  ",3
01,17,24015,"    ","  ",3
01,20,24015,3314,41,1
01,21,34011,"    ","  ",2
01,49,24015,3314,49,1
01,38,24015,3314,96,1
01,05,00000,"    ","  "," "
01,09,10013,"    ","  "," "
01,56,60002,3314,18,1
01,56,60413,3314,84,1
01,28,60612,3314,82,1
01,20,60002,"    ","  ",3
01,63,10018,"    ","  ",3
01,70,24015,"    ","  ",3
01,49,60913,3314,47,1
01,06,02000,"    ","  "," "
01,32,24013,3314,49,1
01,34,24015,3314,47,1
01,12,10018,"    ","  "," "
01,10,10014,"    ","  "," "
01,06,02000,"    ","  "," "
01,25,24015,3314,47,1
01,06,02000,"    ","  "," "
01,33,24015,3314,47,1
01,33,24015,"    ","  ",3
01,06,02000,"    ","  "," "
01,64,24012,3314,47,1
01,27,24015,3314,41,1
01,34,10012,3314,47,1
01,38,60715,3314,68,1
01,38,60913,3314,86,1
