Region,"C05-Age as of Last Birthday","C07-Highest Grade Completed","C09-Work Indicator","C10-Job Indicator","C11 - Location of Work (Province, Municipality)","C15-Major Industry Group","C25-Looked for Work or Tried to Establish Business during the past week","C26-Reason for not Looking for Work","C27-Available for Work"
01,17,34021,2,2,"    ","  ",2,08," "
01,23,24015,1," ",2805,53," ","  "," "
01,29,24015,1," ",2805,01," ","  "," "
01,26,41012,1," ",2805,47," ","  "," "
01,04,"     "," "," ","    ","  "," ","  "," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,60,24015,1," ",2805,01," ","  "," "
01,60,24015,2,2,"    ","  ",2,03,2
01,40,60612,1," ",2805,01," ","  "," "
01,34,24015,1," ",2805,01," ","  "," "
01,14,24012,2,2,"    ","  "," ","  "," "
01,10,10013,2,2,"    ","  "," ","  "," "
01,04,"     "," "," ","    ","  "," ","  "," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,50,24015,1," ",2805,41," ","  "," "
01,46,24015,2,2,"    ","  ",2,07," "
01,23,60002,2,2,"    ","  ",2,08," "
01,14,24011,2,2,"    ","  "," ","  "," "
01,73,10018,2,2,"    ","  ",2,61," "
01,47,24015,1," ",2806,96," ","  "," "
01,38,24015,1," ",2806,41," ","  "," "
01,37,24015,2,2,"    ","  ",2,07," "
01,16,24013,2,2,"    ","  ",2,08," "
01,08,10012,2,2,"    ","  "," ","  "," "
01,42,24011,1," ",2806,01," ","  "," "
01,41,24013,1," ",2806,47," ","  "," "
01,24,35013,1," ",2806,01," ","  "," "
01,18,34011,1," ",2806,01," ","  "," "
01,16,24015,2,2,"    ","  ",2,08," "
01,23,24013,1," ",2806,10," ","  "," "
01,21,35013,2,2,"    ","  ",2,07," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,47,60002,1," ",2806,41," ","  "," "
01,38,60002,1," ",2806,01," ","  "," "
01,14,24012,2,2,"    ","  "," ","  "," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,61,24015,1," ",2806,01," ","  "," "
01,55,24015,1," ",2806,84," ","  "," "
01,65,24012,1," ",2806,01," ","  "," "
01,65,24015,1," ",2806,01," ","  "," "
01,38,24015,1," ",2806,01," ","  "," "
01,86,10014,1," ",2806,01," ","  "," "
01,85,10014,2,2,"    ","  ",2,61," "
01,24,34023,1," ",2806,01," ","  "," "
01,16,24015,2,2,"    ","  ",2,08," "
01,15,24013,2,2,"    ","  ",2,08," "
01,40,24015,1," ",2806,01," ","  "," "
01,35,24015,1," ",2806,96," ","  "," "
01,15,24015,1," ",2806,01," ","  "," "
01,13,24012,2,2,"    ","  "," ","  "," "
01,10,10015,2,2,"    ","  "," ","  "," "
01,02,"     "," "," ","    ","  "," ","  "," "
01,38,10018,1," ",2806,01," ","  "," "
01,69,10018,1," ",2806,01," ","  "," "
01,64,10018,1," ",2806,01," ","  "," "
01,39,24015,1," ",2806,01," ","  "," "
01,15,24012,2,2,"    ","  ",2,08," "
01,69,10012,1," ",2806,01," ","  "," "
01,63,10018,1," ",2806,01," ","  "," "
01,33,10011,1," ",2806,01," ","  "," "
01,67,10018,1," ",2806,01," ","  "," "
01,67,10018,2,2,"    ","  ",2,07," "
01,48,10014,1," ",2806,01," ","  "," "
01,42,10018,1," ",2806,01," ","  "," "
01,73,10018,1," ",2812,47," ","  "," "
01,62,10018,1," ",2812,47," ","  "," "
01,63,60412,1," ",2812,84," ","  "," "
01,56,60003,1," ",2812,56," ","  "," "
01,26,60002,2,2,"    ","  ",2,08," "
01,23,60003,2,2,"    ","  ",2,08," "
01,20,60001,2,2,"    ","  ",2,08," "
01,05,01000,2,2,"    ","  "," ","  "," "
01,67,60715,2,2,"    ","  ",2,62," "
01,57,60688,2,2,"    ","  ",2,07," "
01,50,10018,1," ",2812,31," ","  "," "
01,25,60488,1," ",2812,47," ","  "," "
01,48,24015,1," ",2812,47," ","  "," "
01,22,60001,2,2,"    ","  ",2,08," "
01,16,24013,2,2,"    ","  ",2,08," "
01,46,60913,1," ",2812,87," ","  "," "
01,60,24015,1," ",2812,47," ","  "," "
01,62,60002,1," ",2812,47," ","  "," "
01,32,24012,1," ",2812,52," ","  "," "
01,33,60415,1," ",2812,47," ","  "," "
01,07,10011,2,2,"    ","  "," ","  "," "
01,70,60415,2,2,"    ","  ",2,62," "
01,70,60111,2,2,"    ","  ",2,62," "
01,44,24015,1," ",2823,55," ","  "," "
01,39,60612,1," ",2823,55," ","  "," "
01,16,35011,2,2,"    ","  ",2,08," "
01,04,"     "," "," ","    ","  "," ","  "," "
01,45,60612,1," ",2812,45," ","  "," "
01,20,60001,2,2,"    ","  ",2,08," "
01,12,10015,2,2,"    ","  "," ","  "," "
01,10,10013,2,2,"    ","  "," ","  "," "
01,76,10018,2,2,"    ","  ",2,63," "
01,57,60314,1," ",2816,80," ","  "," "
01,58,60732,1," ",2812,41," ","  "," "
01,48,60415,1," ",2812,82," ","  "," "
01,15,24013,2,2,"    ","  ",2,08," "
01,66,24015,1," ",2812,41," ","  "," "
01,36,24015,1," ",2812,56," ","  "," "
01,36,60913,1," ",2812,47," ","  "," "
01,10,10015,2,2,"    ","  "," ","  "," "
01,55,24015," "," ","    ","  "," ","  "," "
01,34,60913," "," ","    ","  "," ","  "," "
01,56,60002,1," ",2820,56," ","  "," "
01,57,60002,1," ",2812,47," ","  "," "
01,27,60411,1," ",2819,82," ","  "," "
01,76,10018,2,3,"    ","  ",2,03,2
01,76,10018,2,2,"    ","  ",2,61," "
01,22,61013,2,2,"    ","  ",2,02,1
01,16,34011,2,2,"    ","  ",2,08," "
01,67,24015,1," ",2812,84," ","  "," "
01,61,24015,2,2,"    ","  ",2,07," "
01,18,60001,2,2,"    ","  ",2,08," "
01,28,60612,1," ",2812,84," ","  "," "
01,28,60613,1," ",2812,82," ","  "," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,27,24015,1," ",2812,10," ","  "," "
01,31,50413,1," ",2812,46," ","  "," "
01,44,60001,1," ",2812,47," ","  "," "
01,24,60003,1," ",2812,14," ","  "," "
01,19,34013,2,2,"    ","  ",2,08," "
01,23,35013,1," ",2812,53," ","  "," "
01,60,60719,1," ",2812,52," ","  "," "
01,50,10018,2,2,"    ","  ",2,07," "
01,34,24015,1," ",2812,43," ","  "," "
01,31,60611,2,2,"    ","  ",2,07," "
01,10,10015,2,2,"    ","  "," ","  "," "
01,08,10012,2,2,"    ","  "," ","  "," "
01,24,60914,1," ",2812,52," ","  "," "
01,74,10018,2,2,"    ","  ",2,61," "
01,29,10018,1," ",2812,41," ","  "," "
01,30,24015,2,2,"    ","  ",2,07," "
01,11,10014,2,2,"    ","  "," ","  "," "
01,08,10011,2,2,"    ","  "," ","  "," "
01,07,10011,2,2,"    ","  "," ","  "," "
01,61,60913,1," ",2812,86," ","  "," "
01,31,24015,1," ",2812,18," ","  "," "
01,34,60413,1," ",2812,47," ","  "," "
01,42,60716,1," ",2812,41," ","  "," "
01,42,24015,2,2,"    ","  ",2,07," "
01,19,60001,2,2,"    ","  ",2,08," "
01,16,34011,2,2,"    ","  ",2,08," "
01,65,60488,2,2,"    ","  ",2,01,2
01,56,60411,1," ",2812,64," ","  "," "
01,22,60002,2,2,"    ","  ",2,08," "
01,17,24015,2,2,"    ","  ",2,08," "
01,50,24015,1," ",2812,41," ","  "," "
01,44,24015,1," ",2812,01," ","  "," "
01,19,34013,2,2,"    ","  ",2,08," "
01,53,10018,1," ",2820,96," ","  "," "
01,33,24012,2,2,"    ","  ",2,63," "
01,32,10018,1," ",2820,01," ","  "," "
01,29,24015,1," ",2820,95," ","  "," "
01,23,35013,1," ",3904,01," ","  "," "
01,17,24015,2,2,"    ","  ",2,08," "
01,38,24015,1," ",2820,41," ","  "," "
01,38,61013,1," ",2820,56," ","  "," "
01,15,24015,2,2,"    ","  ",2,08," "
01,12,10018,2,2,"    ","  "," ","  "," "
01,09,10013,2,2,"    ","  "," ","  "," "
01,40,24015,1," ",2820,01," ","  "," "
01,43,60111,1," ",2820,96," ","  "," "
01,15,24012,2,2,"    ","  ",2,08," "
01,15,24012,2,2,"    ","  ",2,08," "
01,08,10013,2,2,"    ","  "," ","  "," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,37,60913,1," ",2820,84," ","  "," "
01,36,60913,2,2,"    ","  ",2,07," "
01,04,"     "," "," ","    ","  "," ","  "," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,58,24015,1," ",2820,53," ","  "," "
01,60,24015,1," ",2820,01," ","  "," "
01,24,34013,1," ",2820,41," ","  "," "
01,18,35013,2,2,"    ","  ",2,08," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,65,10018,1," ",2820,49," ","  "," "
01,62,24015,2,2,"    ","  ",2,61," "
01,75,10018,1," ",2820,01," ","  "," "
01,73,10018,1," ",2820,01," ","  "," "
01,61,24012,1," ",2820,01," ","  "," "
01,65,24011,1," ",2820,47," ","  "," "
01,88,10014,2,2,"    ","  ",2,61," "
01,54,50716,1," ",2820,49," ","  "," "
01,25,60002,1," ",2820,42," ","  "," "
01,31,60003,2,2,"    ","  ",2,07," "
01,01,"     "," "," ","    ","  "," ","  "," "
01,29,24015,1," ",2820,49," ","  "," "
01,06,10011,2,2,"    ","  "," ","  "," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,01,"     "," "," ","    ","  "," ","  "," "
01,71,80113,2,2,"    ","  ",2,62," "
01,49,60002,1," ",2820,01," ","  "," "
01,52,60111,1," ",2820,01," ","  "," "
01,22,60003,2,2,"    ","  ",2,08," "
01,19,24015,1," ",2820,01," ","  "," "
01,60,24015,1," ",2820,49," ","  "," "
01,27,24013,1," ",2820,53," ","  "," "
01,29,24015,2,3,"    ","  ",2,07," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,47,10018,1," ",2820,01," ","  "," "
01,43,24015,1," ",2820,01," ","  "," "
01,06,01000,2,2,"    ","  "," ","  "," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,82,10018,2,2,"    ","  ",2,61," "
01,16,24015,2,2,"    ","  ",2,08," "
01,75,10011,1," ",2820,01," ","  "," "
01,35,24015,1," ",2820,01," ","  "," "
01,47,10018,1," ",2820,01," ","  "," "
01,38,24015,1," ",2820,01," ","  "," "
01,42,24015,1," ",2820,01," ","  "," "
01,15,24013,2,2,"    ","  ",2,08," "
01,14,24012,2,2,"    ","  "," ","  "," "
01,12,10015,2,2,"    ","  "," ","  "," "
01,33,60913,1," ",2820,82," ","  "," "
01,50,10018,1," ",2822,41," ","  "," "
01,63,10018,2,2,"    ","  ",2,07," "
01,14,24012,2,2,"    ","  "," ","  "," "
01,05,01000,2,2,"    ","  "," ","  "," "
01,38,61013," "," ","    ","  "," ","  "," "
01,67,10013,1," ",2822,01," ","  "," "
01,67,10015,1," ",2822,47," ","  "," "
01,41,60111,1," ",2822,85," ","  "," "
01,15,24013,2,2,"    ","  ",2,08," "
01,15,24013,2,2,"    ","  ",2,08," "
01,14,24012,2,2,"    ","  "," ","  "," "
01,62,10018,2,2,"    ","  ",2,63," "
01,72,10018,1," ",2822,01," ","  "," "
01,67,10018,2,2,"    ","  ",2,61," "
01,15,24012,2,2,"    ","  ",2,08," "
01,17,35011,2,2,"    ","  ",2,08," "
01,16,24013,2,2,"    ","  ",2,08," "
01,54,10018,1," ",2822,01," ","  "," "
01,52,24012,2,2,"    ","  ",2,03,2
01,28,24015,1," ",2822,01," ","  "," "
01,45,24015,1," ",2822,01," ","  "," "
01,45,60913,1," ",2822,01," ","  "," "
01,19,60002,2,2,"    ","  ",2,08," "
01,69,24015,2,2,"    ","  ",2,61," "
01,33,60211,1," ",2822,18," ","  "," "
01,35,24015,1," ",2822,45," ","  "," "
01,36,60714,1," ",2822,82," ","  "," "
01,09,10012,2,2,"    ","  "," ","  "," "
01,38,24012,1," ",2822,16," ","  "," "
01,15,24012,2,2,"    ","  ",2,08," "
01,13,24011,2,2,"    ","  "," ","  "," "
01,34,24015," "," ","    ","  "," ","  "," "
01,89,10014,2,2,"    ","  ",2,61," "
01,60,60913,2,2,"    ","  ",2,07," "
01,62,24015,1," ",2822,01," ","  "," "
01,59,60111,1," ",2822,85," ","  "," "
01,55,10011,1," ",2822,01," ","  "," "
01,53,24015,1," ",2822,01," ","  "," "
01,34,24015,1," ",2822,47," ","  "," "
01,24,24015,1," ",2812,47," ","  "," "
01,32,24015,1," ",2818,47," ","  "," "
01,21,24015,2,2,"    ","  ",2,03,2
01,14,24013,2,2,"    ","  "," ","  "," "
01,59,10012,1," ",2822,01," ","  "," "
01,54,10018,1," ",2822,01," ","  "," "
01,23,60002,1," ",2822,01," ","  "," "
01,77,10018,1," ",2822,01," ","  "," "
01,60,10018,1," ",2822,01," ","  "," "
01,23,35013,1," ",2822,01," ","  "," "
01,45,24015,1," ",2812,82," ","  "," "
01,17,34011,2,2,"    ","  ",2,08," "
01,45,24015," "," ","    ","  "," ","  "," "
01,83,60002,2,2,"    ","  ",2,61," "
01,71,10018,2,2,"    ","  ",2,63," "
01,71,10018,1," ",2822,01," ","  "," "
01,41,60001,1," ",2812,47," ","  "," "
01,18,34021,1," ",2822,01," ","  "," "
01,22,24015,1," ",2812,82," ","  "," "
01,27,60003,1," ",2822,84," ","  "," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,23,10018,1," ",2822,41," ","  "," "
01,31,10018,1," ",2822,41," ","  "," "
01,36,24015,1," ",2822,01," ","  "," "
01,30,10018,1," ",2822,01," ","  "," "
01,12,10018,2,2,"    ","  "," ","  "," "
01,11,10015,2,2,"    ","  "," ","  "," "
01,09,10013,2,2,"    ","  "," ","  "," "
01,04,"     "," "," ","    ","  "," ","  "," "
01,33,10018,1," ",2822,01," ","  "," "
01,29,24015,1," ",2822,47," ","  "," "
01,06,10011,2,2,"    ","  "," ","  "," "
01,04,"     "," "," ","    ","  "," ","  "," "
01,02,"     "," "," ","    ","  "," ","  "," "
01,70,24015,1," ",2822,01," ","  "," "
01,59,10018,1," ",2822,01," ","  "," "
01,26,24015,1," ",2822,41," ","  "," "
01,20,24015,1," ",2822,47," ","  "," "
01,82,10014,2,2,"    ","  ",2,61," "
01,80,10018,2,2,"    ","  ",2,61," "
01,42,61041," "," ","    ","  "," ","  "," "
01,35,61013,1," ",2822,47," ","  "," "
01,09,10013,2,2,"    ","  "," ","  "," "
01,06,02000,2,2,"    ","  "," ","  "," "
01,01,"     "," "," ","    ","  "," ","  "," "
01,43,24013,1," ",2822,01," ","  "," "
01,40,10018,1," ",2822,01," ","  "," "
01,18,24013,2,2,"    ","  ",2,08," "
01,51,24015,1," ",2822,01," ","  "," "
01,39,24015,1," ",2822,01," ","  "," "
01,19,34013,1," ",2822,01," ","  "," "
01,15,24013,2,2,"    ","  ",2,61," "
01,10,10013,2,2,"    ","  "," ","  "," "
01,72,10018,1," ",2822,01," ","  "," "
01,20,34011,2,2,"    ","  ",2,08," "
01,19,34023,2,2,"    ","  ",2,08," "
01,16,24013,2,2,"    ","  ",2,08," "
01,37,24015," "," ","    ","  "," ","  "," "
01,54,10018,1," ",2823,01," ","  "," "
01,44,24015,1," ",2823,01," ","  "," "
01,23,60488,1," ",2823,01," ","  "," "
01,69,10018,1," ",2823,01," ","  "," "
01,62,24012,1," ",2823,01," ","  "," "
01,30,24015,1," ",2823,41," ","  "," "
01,22,24015,1," ",2820,56," ","  "," "
01,53,60001,1," ",2823,01," ","  "," "
01,54,24012,1," ",2823,01," ","  "," "
01,52,60003,1," ",2823,01," ","  "," "
01,42,60003,1," ",2823,84," ","  "," "
01,37,60003,1," ",2823,47," ","  "," "
01,16,24015,2,2,"    ","  ",2,08," "
01,10,10014,2,2,"    ","  "," ","  "," "
01,69,60111,1," ",2823,01," ","  "," "
01,64,60831,1," ",2817,84," ","  "," "
01,39,60612,1," ",2823,84," ","  "," "
01,35,60111,1," ",2823,85," ","  "," "
01,07,10011,2,2,"    ","  "," ","  "," "
01,02,"     "," "," ","    ","  "," ","  "," "
01,43,24015,1," ",2823,01," ","  "," "
01,37,24015,1," ",2823,01," ","  "," "
01,71,24012,1," ",2823,47," ","  "," "
01,32,24015,1," ",2823,01," ","  "," "
01,31,24015,1," ",2823,01," ","  "," "
01,12,10018,2,2,"    ","  "," ","  "," "
01,11,10014,2,2,"    ","  "," ","  "," "
01,62,24015,1," ",2823,01," ","  "," "
01,31,10018,1," ",2823,01," ","  "," "
01,21,24015,1," ",2823,01," ","  "," "
01,49,24015,1," ",2905,42," ","  "," "
01,50,24015,2,2,"    ","  ",2,07," "
01,25,60314,2,2,"    ","  ",2,09," "
01,23,24015,2,2,"    ","  ",2,08," "
01,27,60612,2,2,"    ","  ",2,07," "
01,05,00000,2,2,"    ","  "," ","  "," "
01,69,10018,2,2,"    ","  ",2,63," "
01,67,10018,2,2,"    ","  ",2,61," "
01,42,24015,1," ",2930,49," ","  "," "
01,38,24015," "," ","    ","  "," ","  "," "
01,21,41013,2,2,"    ","  ",2,07," "
01,84,10018,1," ",2905,01," ","  "," "
01,31,50913,1," ",2905,01," ","  "," "
01,37,24015," "," ","    ","  "," ","  "," "
01,11,10014,2,2,"    ","  "," ","  "," "
01,08,10011,2,2,"    ","  "," ","  "," "
01,42,24015,1," ",2905,47," ","  "," "
01,37,24012,1," ",2905,47," ","  "," "
01,18,35013,2,2,"    ","  ",2,08," "
01,16,34011,2,2,"    ","  ",2,08," "
01,12,10015,2,2,"    ","  "," ","  "," "
01,05,00000,2,2,"    ","  "," ","  "," "
01,37,24015,2,2,"    ","  ",2,07," "
01,65,10018,1," ",2905,01," ","  "," "
01,64,10018,1," ",2905,47," ","  "," "
01,31,00000,2,2,"    ","  ",2,63," "
01,21,60001,2,2,"    ","  ",2,08," "
01,28,24015,1," ",2905,49," ","  "," "
01,33,24015,1," ",2905,96," ","  "," "
01,06,02000,2,2,"    ","  "," ","  "," "
01,05,00000,2,2,"    ","  "," ","  "," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,33,24012,1," ",2905,01," ","  "," "
01,17,34013,2,2,"    ","  ",2,08," "
01,07,10011,2,2,"    ","  "," ","  "," "
01,02,"     "," "," ","    ","  "," ","  "," "
01,31,40721,1," ",2905,96," ","  "," "
01,15,24012,2,2,"    ","  ",2,08," "
01,61,10015,2,2,"    ","  ",2,63," "
01,43,10018,1," ",2920,42," ","  "," "
01,42,24015,2,2,"    ","  ",2,07," "
01,21,60001,2,2,"    ","  ",2,08," "
01,16,24015,2,2,"    ","  ",2,08," "
01,14,24011,2,2,"    ","  "," ","  "," "
01,63,24015,1," ",2905,01," ","  "," "
01,56,24015,1," ",2934,84," ","  "," "
01,17,34011,2,2,"    ","  ",2,08," "
01,84,10018,2,2,"    ","  ",2,61," "
01,44,40716,1," ",2905,01," ","  "," "
01,38,24015," "," ","    ","  "," ","  "," "
01,15,24013,2,2,"    ","  ",2,08," "
01,14,24011,2,2,"    ","  "," ","  "," "
01,59,40716,1," ",2905,80," ","  "," "
01,43,24015,1," ",2905,47," ","  "," "
01,20,24015,2,2,"    ","  ",2,03,2
01,14,24011,2,2,"    ","  "," ","  "," "
01,22,10018,1," ",2905,41," ","  "," "
01,18,24015,2,2,"    ","  ",2,07," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,23,24012,1," ",2905,41," ","  "," "
01,19,24013,2,2,"    ","  ",2,07," "
01,01,"     "," "," ","    ","  "," ","  "," "
01,59,10014,1," ",2905,01," ","  "," "
01,55,10018,1," ",2905,01," ","  "," "
01,27,24015,1," ",2905,41," ","  "," "
01,25,60001,1," ",3905,47," ","  "," "
01,07,02000,2,2,"    ","  "," ","  "," "
01,05,01000,2,2,"    ","  "," ","  "," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,46,24015,1," ",2930,49," ","  "," "
01,43,24015,1," ",2905,47," ","  "," "
01,19,34013,2,2,"    ","  ",2,08," "
01,17,24015,2,2,"    ","  ",2,08," "
01,65,24015,1," ",2905,01," ","  "," "
01,50,24015,1," ",2905,01," ","  "," "
01,40,60002,2,2,"    ","  ",2,07," "
01,36,60613," "," ","    ","  "," ","  "," "
01,05,01000,2,2,"    ","  "," ","  "," "
01,42,24015,1," ",2905,84," ","  "," "
01,82,10018,2,2,"    ","  ",2,61," "
01,22,34013,1," ",2905,56," ","  "," "
01,18,34013,2,2,"    ","  ",2,08," "
01,81,10013,1," ",2912,56," ","  "," "
01,32,02000,1," ",2905,16," ","  "," "
01,37,40213,1," ",2907,90," ","  "," "
01,66,60001,2,2,"    ","  ",2,07," "
01,50,60411,1," ",2903,47," ","  "," "
01,36,24015,1," ",2903,47," ","  "," "
01,41,40723,1," ",2907,56," ","  "," "
01,17,34011,2,2,"    ","  ",2,08," "
01,16,24013,2,2,"    ","  ",2,08," "
01,10,10014,2,2,"    ","  "," ","  "," "
01,39,60001,1," ",2907,56," ","  "," "
01,20,60001,2,2,"    ","  ",2,08," "
01,18,35013,2,2,"    ","  ",2,08," "
01,15,24013,2,2,"    ","  ",2,08," "
01,13,24011,2,2,"    ","  "," ","  "," "
01,67,24015,2,2,"    ","  ",2,62," "
01,63,60413,2,2,"    ","  ",2,07," "
01,40,60311,1," ",2907,84," ","  "," "
01,65,24012,1," ",2907,49," ","  "," "
01,65,24011,1," ",2907,96," ","  "," "
01,32,40716,1," ",2907,41," ","  "," "
01,08,10011,2,2,"    ","  "," ","  "," "
01,34,24015,1," ",2930,41," ","  "," "
01,33,24015,2,2,"    ","  ",2,07," "
01,07,10011,2,2,"    ","  "," ","  "," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,55,24015,1," ",2903,41," ","  "," "
01,62,24015,2,2,"    ","  ",2,07," "
01,28,24012,1," ",2907,03," ","  "," "
01,07,02000,2,2,"    ","  "," ","  "," "
01,60,24012,1," ",2907,03," ","  "," "
01,54,10018,1," ",2907,47," ","  "," "
01,19,24015,1," ",2907,41," ","  "," "
01,16,24015,2,2,"    ","  ",2,07," "
01,50,24013,1," ",2907,41," ","  "," "
01,53,60003,2,2,"    ","  ",2,07," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,54,60114,1," ",2934,45," ","  "," "
01,46,60111,1," ",2907,85," ","  "," "
01,26,60612," "," ","    ","  "," ","  "," "
01,24,61013,1," ",2907,56," ","  "," "
01,22,60002,2,2,"    ","  ",2,08," "
01,13,24011,2,2,"    ","  "," ","  "," "
01,48,24011,1," ",2907,49," ","  "," "
01,50,24015,1," ",2907,84," ","  "," "
01,26,24013,1," ",2907,41," ","  "," "
01,23,61015,1," ",2934,55," ","  "," "
01,12,10018,2,2,"    ","  "," ","  "," "
01,81,10014,2,2,"    ","  ",2,61," "
01,24,24015,1," ",2907,41," ","  "," "
01,58,10018,2,2,"    ","  ",2,07," "
01,49,60222,1," ",2903,01," ","  "," "
01,48,60913,2,2,"    ","  ",2,07," "
01,14,24012,2,2,"    ","  "," ","  "," "
01,12,10018,2,2,"    ","  "," ","  "," "
01,47,60003,2,2,"    ","  ",2,07," "
01,17,24015,2,2,"    ","  ",2,08," "
01,47,24015,1," ",2907,47," ","  "," "
01,50,50913,2,2,"    ","  ",2,07," "
01,38,60003,1," ",2934,61," ","  "," "
01,17,34011,2,2,"    ","  ",2,08," "
01,11,10015,2,2,"    ","  "," ","  "," "
01,53,60001,2,2,"    ","  ",2,07," "
01,60,10018,1," ",2907,41," ","  "," "
01,61,10018,1," ",2907,47," ","  "," "
01,28,24015,1," ",2907,41," ","  "," "
01,24,60413,1," ",7604,82," ","  "," "
01,23,60003,2,2,"    ","  ",2,08," "
01,40,10018,1," ",2907,49," ","  "," "
01,32,24015,1," ",2907,56," ","  "," "
01,09,10013,2,2,"    ","  "," ","  "," "
01,04,"     "," "," ","    ","  "," ","  "," "
01,61,24012,1," ",2907,41," ","  "," "
01,64,24015,1," ",2907,96," ","  "," "
01,76,60111,2,2,"    ","  ",2,62," "
01,67,24015,2,2,"    ","  ",2,61," "
01,62,10018,2,2,"    ","  ",2,07," "
01,63,10013,2,2,"    ","  ",2,07," "
01,34,24015,1," ",2910,41," ","  "," "
01,81,00000,2,2,"    ","  ",2,61," "
01,56,10012,1," ",2910,41," ","  "," "
01,25,60002,1," ",2910,41," ","  "," "
01,26,60001,2,2,"    ","  ",2,07," "
01,05,01000,2,2,"    ","  "," ","  "," "
01,57,10015,1," ",2910,41," ","  "," "
01,51,24012,2,2,"    ","  ",2,07," "
01,72,60002,2,2,"    ","  ",2,07," "
01,45,40610,1," ",2910,41," ","  "," "
01,58,50415,1," ",2910,84," ","  "," "
01,55,10018,1," ",2910,41," ","  "," "
01,54,24015," "," ","    ","  "," ","  "," "
01,28,60003,1," ",2910,47," ","  "," "
01,10,10013,2,2,"    ","  "," ","  "," "
01,06,02000,2,2,"    ","  "," ","  "," "
01,05,01000,2,2,"    ","  "," ","  "," "
01,40,60002,1," ",2910,01," ","  "," "
01,38,24012,2,2,"    ","  ",2,07," "
01,03,"     "," "," ","    ","  "," ","  "," "
01,89,10012,2,2,"    ","  ",2,61," "
01,46,40713,1," ",2910,84," ","  "," "
01,42,60111,1," ",2910,85," ","  "," "
01,16,24013,2,2,"    ","  ",2,08," "
01,08,10011,2,2,"    ","  "," ","  "," "
01,07,02000,2,2,"    ","  "," ","  "," "
01,46,10015,1," ",2910,41," ","  "," "
01,43,60111," "," ","    ","  "," ","  "," "
01,66,10018,1," ",2912,84," ","  "," "
01,20,60002,2,2,"    ","  ",2,08," "
01,25,60612,1," ",2934,84," ","  "," "
01,43,24015,1," ",0101,41," ","  "," "
01,25,60413,1," ",2934,68," ","  "," "
01,27,60314,1," ",2903,84," ","  "," "
